Date,Open,High,Low,Close,Adj Close,Volume
2019-11-15,54.930000,56.270000,54.750000,56.240002,55.153908,3373300
2019-11-18,56.139999,56.689999,55.810001,56.009998,54.928341,2719900
2019-11-19,56.240002,56.369999,55.650002,55.680000,54.604717,2137000
2019-11-20,55.310001,55.810001,55.090000,55.410000,54.339931,2686400
2019-11-21,55.419998,55.619999,54.860001,55.169998,54.104565,2301300
2019-11-22,55.330002,55.990002,55.250000,55.689999,54.614525,2061900
2019-11-25,55.990002,56.490002,55.619999,56.349998,55.261776,2111100
2019-11-26,56.240002,56.240002,53.759998,54.209999,53.163105,5571600
2019-11-27,54.209999,55.259998,54.150002,55.220001,54.153603,1988800
2019-11-29,54.919998,55.270000,54.750000,55.029999,53.967270,833400
2019-12-02,55.029999,55.070000,54.509998,54.639999,53.584805,1622200
2019-12-03,54.270000,54.599998,53.830002,54.529999,53.476925,1900100
2019-12-04,54.740002,55.070000,54.450001,54.779999,53.722099,1753800
2019-12-05,54.869999,55.029999,54.220001,54.250000,53.202335,1924800
2019-12-06,54.610001,55.090000,54.500000,54.869999,53.810360,1525900
2019-12-09,54.709999,54.810001,54.029999,54.340000,53.290596,1581800
2019-12-10,54.209999,54.220001,53.450001,53.820000,52.780640,1823200
2019-12-11,53.709999,54.349998,53.700001,54.279999,53.231754,1691100
2019-12-12,54.380001,55.020000,54.110001,54.660000,53.604416,1533200
2019-12-13,54.470001,54.759998,53.590000,53.660000,52.623730,1568600
2019-12-16,53.259998,53.980000,52.630001,53.700001,52.662956,2872500
2019-12-17,53.570000,53.599998,51.000000,51.570000,50.574089,3657100
2019-12-18,51.240002,51.580002,50.830002,51.099998,50.113163,2624300
2019-12-19,51.349998,51.459999,50.500000,50.610001,49.632629,1920900
2019-12-20,51.090000,52.029999,50.509998,51.799999,50.799648,4939500
2019-12-23,51.810001,51.939999,51.110001,51.130001,50.142586,1402200
2019-12-24,51.369999,51.770000,51.080002,51.290001,50.299500,535400
2019-12-26,51.349998,51.450001,50.919998,51.169998,50.181812,839600
2019-12-27,51.139999,51.610001,50.750000,51.500000,50.505444,1427100
2019-12-30,51.470001,51.660000,50.700001,50.770000,49.789539,1648900
2019-12-31,50.130001,50.900002,50.099998,50.580002,50.077751,1908300
2020-01-02,50.919998,51.009998,49.480000,50.090000,49.592613,2824600
2020-01-03,49.320000,49.799999,49.139999,49.360001,48.869865,1876300
2020-01-06,49.259998,49.820000,48.930000,49.770000,49.275791,2410200
2020-01-07,49.610001,49.990002,49.330002,49.790001,49.295593,1818700
2020-01-08,49.680000,50.310001,49.259998,50.060001,49.562912,1727100
2020-01-09,50.200001,50.439999,49.669998,50.299999,49.800529,1747000
2020-01-10,50.400002,50.720001,49.880001,50.630001,50.127254,2298200
2020-01-13,50.529999,50.560001,49.799999,50.439999,49.939137,2526500
2020-01-14,50.939999,52.459999,50.939999,52.450001,51.929180,3186300
2020-01-15,52.270000,54.119999,52.040001,53.810001,53.275677,4023200
2020-01-16,54.169998,54.520000,53.610001,54.419998,53.879616,2710300
2020-01-17,54.529999,54.639999,53.630001,53.930000,53.394485,2566400
2020-01-21,53.889999,54.400002,53.500000,54.009998,53.473686,1874000
2020-01-22,54.369999,55.490002,54.220001,55.320000,54.770679,3059800
2020-01-23,55.209999,55.220001,54.540001,54.869999,54.325150,3333100
2020-01-24,54.950001,54.950001,52.750000,53.820000,53.285576,2107200
2020-01-27,52.849998,53.590000,52.020000,53.380001,52.849945,2511400
2020-01-28,53.759998,54.080002,53.150002,53.799999,53.265774,2089200
2020-01-29,53.930000,54.400002,53.410000,53.740002,53.206371,1748600
2020-01-30,53.490002,53.869999,52.509998,53.290001,52.760841,1919500
2020-01-31,53.000000,53.169998,50.900002,51.209999,50.701492,7692100
2020-02-03,51.430000,52.180000,51.090000,51.259998,50.750996,1905500
2020-02-04,52.060001,52.680000,51.540001,51.590000,51.077721,3443800
2020-02-05,52.090000,53.450001,52.040001,52.680000,52.156895,5655600
2020-02-06,57.549999,59.799999,56.840000,58.259998,57.681484,6735000
2020-02-07,59.090000,60.480000,57.740002,58.240002,57.661690,4384700
2020-02-10,58.250000,59.700001,58.000000,59.189999,58.602253,3616600
2020-02-11,59.250000,59.470001,58.349998,59.410000,58.820068,2611300
2020-02-12,60.000000,60.689999,59.689999,60.130001,59.532921,2290600
2020-02-13,59.540001,60.320000,59.369999,59.400002,58.810169,1953300
2020-02-14,59.189999,59.790001,57.610001,59.619999,59.027981,3284900
2020-02-18,59.599998,59.990002,58.779999,59.009998,58.424038,2276300
2020-02-19,58.900002,59.369999,58.660000,59.349998,58.760662,1896900
2020-02-20,59.090000,60.529999,58.759998,60.419998,59.820038,2688000
2020-02-21,60.169998,60.389999,59.500000,59.720001,59.126991,2275400
2020-02-24,58.209999,58.939999,57.910000,58.139999,57.562679,2105300
2020-02-25,58.500000,58.799999,55.259998,55.439999,54.889488,2764400
2020-02-26,55.450001,56.750000,54.990002,55.009998,54.463757,3160700
2020-02-27,54.240002,55.380001,52.240002,52.250000,51.731167,4825700
2020-02-28,50.580002,52.150002,49.490002,52.119999,51.602455,6367000
2020-03-02,52.310001,54.020000,51.770000,54.020000,53.483589,4630300
2020-03-03,53.980000,54.889999,51.509998,52.959999,52.434116,3434500
2020-03-04,54.790001,56.090000,53.230000,54.630001,54.087536,4431300
2020-03-05,53.209999,54.160000,51.820000,52.480000,51.958881,3369700
2020-03-06,50.860001,52.169998,50.029999,51.270000,50.760899,2889200
2020-03-09,48.000000,49.740002,47.110001,47.930000,47.454063,4876900
2020-03-10,49.200001,49.820000,46.900002,49.709999,49.216389,3013700
2020-03-11,48.459999,49.330002,47.610001,48.650002,48.166916,3576300
2020-03-12,45.750000,46.000000,42.360001,42.389999,41.969074,4218300
2020-03-13,44.380001,47.750000,42.560001,47.619999,47.147141,4410300
2020-03-16,42.590000,46.869999,42.160000,44.220001,43.780903,3499900
