Date,Open,High,Low,Close,Adj Close,Volume
2019-11-15,85.099998,85.589996,83.480003,83.639999,83.639999,1304400
2019-11-18,83.080002,84.690002,82.339996,84.510002,84.510002,1315300
2019-11-19,84.879997,85.199997,82.910004,83.519997,83.519997,694100
2019-11-20,83.120003,83.760002,81.800003,82.250000,82.250000,924100
2019-11-21,82.029999,83.180000,81.550003,82.019997,82.019997,478300
2019-11-22,82.410004,83.379997,82.070000,83.300003,83.300003,359500
2019-11-25,83.910004,85.099998,83.300003,84.339996,84.339996,546200
2019-11-26,84.070000,84.830002,83.110001,84.080002,84.080002,600200
2019-11-27,84.669998,85.000000,83.839996,84.269997,84.269997,388300
2019-11-29,84.110001,84.470001,82.510002,82.690002,82.690002,232500
2019-12-02,82.949997,83.529999,81.230003,81.269997,81.269997,515000
2019-12-03,79.699997,80.250000,78.370003,79.980003,79.980003,640800
2019-12-04,80.629997,81.769997,80.309998,80.389999,80.389999,469600
2019-12-05,81.180000,81.750000,80.800003,81.269997,81.269997,601000
2019-12-06,81.889999,82.849998,81.699997,82.190002,82.190002,510400
2019-12-09,81.779999,82.830002,81.690002,82.550003,82.550003,397500
2019-12-10,82.209999,82.430000,80.169998,81.000000,81.000000,493500
2019-12-11,81.089996,82.139999,81.089996,81.760002,81.760002,351500
2019-12-12,81.760002,84.070000,81.300003,83.480003,83.480003,475800
2019-12-13,83.339996,84.660004,83.040001,83.309998,83.309998,438200
2019-12-16,83.529999,84.070000,82.510002,82.529999,82.529999,567300
2019-12-17,82.529999,83.250000,81.660004,81.889999,81.889999,575000
2019-12-18,81.199997,81.349998,79.040001,79.660004,79.660004,1088400
2019-12-19,79.459999,79.680000,77.930000,78.209999,78.209999,967100
2019-12-20,78.610001,80.099998,76.620003,78.620003,78.620003,1706700
2019-12-23,79.129997,79.570000,77.870003,78.129997,78.129997,564300
2019-12-24,78.199997,79.349998,78.199997,78.860001,78.860001,239000
2019-12-26,79.400002,79.879997,78.699997,79.779999,79.779999,386300
2019-12-27,80.000000,81.099998,79.080002,80.300003,80.300003,570900
2019-12-30,80.570000,80.570000,79.070000,79.209999,79.209999,342600
2019-12-31,78.870003,80.029999,78.870003,79.699997,79.699997,474600
2020-01-02,80.379997,81.239998,79.449997,80.459999,80.459999,531200
2020-01-03,79.300003,79.580002,77.919998,78.239998,78.239998,857100
2020-01-06,76.980003,77.199997,75.400002,76.930000,76.930000,937000
2020-01-07,76.860001,78.760002,76.709999,77.510002,77.510002,610600
2020-01-08,77.430000,78.760002,77.430000,78.169998,78.169998,711600
2020-01-09,78.900002,79.400002,78.500000,78.720001,78.720001,510000
2020-01-10,78.769997,78.849998,77.500000,78.059998,78.059998,575500
2020-01-13,78.260002,79.739998,78.120003,79.480003,79.480003,704500
2020-01-14,80.160004,81.970001,79.559998,81.580002,81.580002,1410400
2020-01-15,81.540001,83.480003,81.070000,82.820000,82.820000,1204000
2020-01-16,96.199997,96.199997,91.199997,95.349998,95.349998,7477200
2020-01-17,94.370003,95.830002,92.820000,94.639999,94.639999,1649900
2020-01-21,94.339996,94.500000,92.500000,92.540001,92.540001,1104300
2020-01-22,92.889999,94.379997,92.599998,93.570000,93.570000,1565900
2020-01-23,93.169998,93.570000,92.180000,93.220001,93.220001,684200
2020-01-24,93.300003,93.300003,90.820000,91.839996,91.839996,537400
2020-01-27,88.599998,90.180000,87.800003,89.510002,89.510002,1439900
2020-01-28,90.279999,90.669998,89.510002,89.599998,89.599998,516100
2020-01-29,90.160004,91.029999,89.669998,89.709999,89.709999,543700
2020-01-30,88.330002,90.190002,88.000000,89.919998,89.919998,448100
2020-01-31,89.269997,89.930000,88.400002,88.919998,88.919998,1053200
2020-02-03,89.550003,90.510002,87.900002,90.190002,90.190002,831000
2020-02-04,91.769997,93.559998,91.370003,92.839996,92.839996,565100
2020-02-05,93.949997,94.440002,92.180000,92.250000,92.250000,499400
2020-02-06,92.930000,93.980003,92.169998,93.220001,93.220001,744300
2020-02-07,92.500000,94.110001,91.550003,93.209999,93.209999,954900
2020-02-10,93.040001,94.430000,92.379997,94.169998,94.169998,905900
2020-02-11,96.250000,96.260002,89.470001,92.279999,92.279999,2535400
2020-02-12,93.099998,95.550003,92.470001,94.660004,94.660004,1133600
2020-02-13,94.120003,94.989998,93.739998,94.510002,94.510002,763500
2020-02-14,94.120003,95.720001,94.120003,95.199997,95.199997,1142400
2020-02-18,96.000000,98.430000,96.000000,98.059998,98.059998,1501900
2020-02-19,98.330002,99.430000,97.459999,97.470001,97.470001,1138000
2020-02-20,97.260002,100.180000,97.029999,99.110001,99.110001,1162300
2020-02-21,98.379997,99.260002,97.300003,98.510002,98.510002,581900
