Name,Sector,Full Time Employees,State,Enterprise Value,Profit Margins,Market Cap,Ask Size,Percentage Increase/Decrease
A.O. Smith Corp,Industrials,15100,WI,6695779840,0.11535999999999999,7071518208,800,"(-20.0, 5.0]"
Abbott Laboratories,Health Care,107000,IL,179368673280,0.11150999999999998,161106870272,2200,"(-20.0, 5.0]"
AbbVie Inc.,Health Care,30000,IL,153439600640,0.2477,126151917568,800,"(-20.0, 5.0]"
Activision Blizzard,Information Technology,9080,CA,49468571648,0.24194000000000002,56136794112,1400,"(-20.0, 5.0]"
Acuity Brands Inc,Industrials,12000,GA,3374809856,0.08427,3281126912,1200,"(-45.0, -20.0]"
Adobe Systems Inc,Information Technology,22634,CA,172123734016,0.27719998,175194308608,800,"(-20.0, 5.0]"
Advance Auto Parts,Consumer Discretionary,39000,NC,11159018496,0.05015,8370884608,1400,"(-45.0, -20.0]"
Advanced Micro Devices Inc,Information Technology,11400,CA,60438425600,0.06722,61089271808,1300,"(-20.0, 5.0]"
AES Corp,Utilities,8000,VA,29979682816,0.02974,8329542656,1100,"(-45.0, -20.0]"
Affiliated Managers Group Inc,Financials,4000,FL,5575848448,0.09116,2959964416,1000,"(-45.0, -20.0]"
AFLAC Inc,Financials,11729,GA,30438885376,0.13488,24596172800,1200,"(-45.0, -20.0]"
Agilent Technologies Inc,Health Care,16300,CA,25076074496,0.14590999999999998,24112525312,800,"(-20.0, 5.0]"
Air Products & Chemicals Inc,Materials,17000,PA,51342196736,0.21659,49334591488,900,"(-20.0, 5.0]"
Akamai Technologies Inc,Information Technology,7742,MA,17490700288,0.16739,16065540096,1000,"(-20.0, 5.0]"
Alaska Air Group Inc,Industrials,22473,WA,5329287680,0.0624,3411540480,900,"(-70.0, -45.0]"
Albemarle Corp,Materials,6000,NC,8946173952,0.14854999,6159059456,900,"(-20.0, 5.0]"
Alexandria Real Estate Equities Inc,Real Estate,439,CA,28175869952,0.15619999,19076898816,800,"(-20.0, 5.0]"
Alexion Pharmaceuticals,Health Care,3082,MA,21827235840,0.48172,21508163584,800,"(-20.0, 5.0]"
Allegion,Industrials,11000,,10161084416,0.11205,9036657664,1300,"(-45.0, -20.0]"
Alliance Data Systems,Information Technology,8500,OH,18828783616,0.02823,2081776128,1000,"(-70.0, -45.0]"
Alliant Energy Corp,Utilities,3597,WI,18493689856,0.15275,11322222592,900,"(-20.0, 5.0]"
Allstate Corp,Financials,45780,IL,34680958976,0.09378,32134090752,1100,"(-20.0, 5.0]"
Alphabet Inc Class A,Information Technology,123048,CA,820443348992,0.20711999999999997,919118413824,1100,"(-20.0, 5.0]"
Alphabet Inc Class C,Information Technology,123048,CA,821870002176,0.20711999999999997,918971744256,1200,"(-20.0, 5.0]"
Altria Group Inc,Consumer Staples,7300,VA,92874948608,-0.0421,66399559680,1000,"(-20.0, 5.0]"
Amazon.com Inc.,Consumer Discretionary,840400,WA,1184019251200,0.03565,1172752039936,1100,"(5.0, 30.0]"
Ameren Corp,Utilities,9323,MO,27919618048,0.14665,17232111616,800,"(-20.0, 5.0]"
American Airlines Group,Industrials,131500,TX,34518728704,-0.016929998999999998,3911769600,3100,"(-70.0, -45.0]"
American Electric Power,Utilities,17408,OH,71966760960,0.12345,39002734592,800,"(-20.0, 5.0]"
American Express Co,Financials,64000,NY,88655224832,0.14629,67617652736,900,"(-45.0, -20.0]"
American Tower Corp A,Real Estate,5454,MA,137346408448,0.24554001,105178775552,800,"(-20.0, 5.0]"
American Water Works Company Inc,Utilities,6800,NJ,31826710528,0.17202,21320536064,1400,"(-20.0, 5.0]"
Ameriprise Financial,Financials,12500,MN,13951852544,0.14686,13192114176,900,"(-45.0, -20.0]"
